"sightDate","year","time","quad","fishArea","lat","long","count","comments","channel","source","month","season","whale_identifier","sounders"
"2018-05-20",2018,"0:00",381,"8",48.1,-122.44,1,"22","orca network","public",5,"spring","22","y"
"2018-05-20",2018,"12:55",381,"8",48.1,-122.44,1,"22","orca network","reliable",5,"spring","22","y"
"2018-05-20",2018,"14:00",381,"8",48.1,-122.44,1,"22","orca network","public",5,"spring","22","y"
"2015-04-02",2015,"0:00",384,"8",48.02,-122.31,1,"22","orca network","reliable",4,"spring","22","y"
"2019-04-25",2019,"0:00",375,"8",48.18,-122.55,1,"22","orca network","reliable",4,"spring","22","y"
"2019-04-08",2019,"11:50",381,"8",48.1,-122.44,1,"22","orca network","reliable",4,"spring","22","y"
"2019-04-06",2019,"11:45",384,"8",48.02,-122.31,1,"22","orca network","reliable",4,"spring","22","y"
"2019-04-05",2019,"12:15",383,"8",48.06,-122.4,1,"22","orca network","reliable",4,"spring","22","y"
"2017-04-12",2017,"13:47",378,"8",48.13,-122.38,1,"22","orca network","reliable",4,"spring","22","y"
"2013-04-08",2013,"14:05",375,"8",48.18,-122.55,1,"22","orca network","reliable",4,"spring","22","y"
"2020-03-21",2020,"13:00",384,"8",48.02,-122.31,1,"22","orca network","public",3,"spring","22","y"
"2017-05-14",2017,"0:00",386,"8",47.96,-122.29,1,"22","orca network","reliable",5,"spring","22","y"
"2018-04-10",2018,"11:21",385,"8",48.01,-122.22,1,"22","orca network","reliable",4,"spring","22","y"
"2018-03-25",2018,"12:00",247,"6",48.32,-122.71,1,"22","orca network","public",3,"spring","22","y"
"2018-03-25",2018,"8:40",166,"7",48.68,-123.08,1,"22","orca network","reliable",3,"spring","22","y"
"2018-03-24",2018,"10:35",383,"8",48.06,-122.4,1,"22","orca network","public",3,"spring","22","y"
"2022-03-15",2022,"12:30",374,"8",48.23,-122.57,1,"44","orca network","reliable",3,"spring","44","y"
"2020-05-09",2020,"15:09",386,"8",47.96,-122.29,1,"44","orca network","public",5,"spring","44","y"
"2022-03-09",2022,"8:30",390,"9",48.05,-122.63,1,"44","orca network","public",3,"spring","44","y"
"2021-03-06",2021,"12:40",384,"8",48.02,-122.31,1,"44","orca network","public",3,"spring","44","y"
"2021-05-16",2021,"9:55",398,"9",47.89,-122.36,1,"44","orca network","reliable",5,"spring","44","y"
"2021-05-07",2021,"12:30",383,"8",48.06,-122.4,1,"44","orca network","reliable",5,"spring","44","y"
"2021-04-20",2021,"11:19",378,"8",48.13,-122.38,1,"44","orca network","reliable",4,"spring","44","y"
"2021-03-29",2021,"11:30",384,"8",48.02,-122.31,1,"44","orca network","reliable",3,"spring","44","y"
"2021-03-13",2021,"11:55",372,"8",48.27,-122.56,1,"44","orca network","reliable",3,"spring","44","y"
"2021-03-08",2021,"15:45",372,"8",48.27,-122.56,1,"44","orca network","reliable",3,"spring","44","y"
"2022-03-16",2022,"14:00",367,"8",48.36,-122.51,1,"44","orca network","public",3,"spring","44","y"
"2020-04-16",2020,"15:14",379,"8",48.12,-122.52,1,"44","orca network","public",4,"spring","44","y"
"2013-04-21",2013,"17:12",384,"8",48.02,-122.31,1,"44","orca network","reliable",4,"spring","44","y"
"2020-06-19",2020,"13:39",375,"8",48.18,-122.55,1,"44","orca network","public",6,"summer","44","y"
"2020-05-30",2020,"11:30",386,"8",47.96,-122.29,1,"44","orca network","reliable",5,"spring","44","y"
"2020-04-01",2020,"18:45",373,"8",48.23,-122.67,1,"44","orca network","reliable",4,"spring","44","y"
"2020-05-15",2020,"9:00",386,"8",47.96,-122.29,1,"44","orca network","reliable",5,"spring","44","y"
"2013-03-25",2013,"18:22",373,"8",48.23,-122.67,1,"44","orca network","reliable",3,"spring","44","y"
"2019-03-22",2019,"0:00",386,"8",47.96,-122.29,1,"44","orca network","reliable",3,"spring","44","y"
"2020-04-15",2020,"7:15",386,"8",47.96,-122.29,1,"44","orca network","reliable",4,"spring","44","y"
"2015-04-04",2015,"16:12",379,"8",48.12,-122.52,1,"44","orca network","reliable",4,"spring","44","y"
"2020-02-26",2020,"14:38",372,"8",48.27,-122.56,1,"44","orca network","public",2,"winter","44","y"
"2020-02-26",2020,"13:48",372,"8",48.27,-122.56,1,"44","orca network","public",2,"winter","44","y"
"2020-03-29",2020,"13:38",373,"8",48.23,-122.67,1,"44","orca network","reliable",3,"spring","44","y"
"2018-04-24",2018,"10:55",373,"8",48.23,-122.67,1,"44","orca network","reliable",4,"spring","44","y"
"2018-04-23",2018,"11:45",381,"8",48.1,-122.44,1,"44","orca network","public",4,"spring","44","y"
"2018-04-23",2018,"10:53",384,"8",48.02,-122.31,1,"44","orca network","reliable",4,"spring","44","y"
"2018-04-20",2018,"11:20",384,"8",48.02,-122.31,1,"44","orca network","reliable",4,"spring","44","y"
"2017-04-22",2017,"0:00",383,"8",48.06,-122.4,1,"44","hotline","public",4,"spring","44","y"
"2013-04-16",2013,"12:34",384,"8",48.02,-122.31,1,"49","orca network","reliable",4,"spring","49","y"
"2018-03-19",2018,"16:35",384,"8",48.02,-122.31,1,"49","orca network","public",3,"spring","49","y"
"2019-03-02",2019,"13:00",386,"8",47.96,-122.29,1,"49","orca network","ww",3,"spring","49","y"
"2017-03-18",2017,"12:15",375,"8",48.18,-122.55,1,"49","orca network","public",3,"spring","49","y"
"2017-03-05",2017,"11:57",378,"8",48.13,-122.38,1,"49","orca network","reliable",3,"spring","49","y"
"2017-03-04",2017,"15:09",382,"8",48.08,-122.33,1,"49","orca network","reliable",3,"spring","49","y"
"2017-03-04",2017,"0:00",378,"8",48.13,-122.38,1,"49","orca network","reliable",3,"spring","49","y"
"2017-03-04",2017,"0:00",383,"8",48.06,-122.4,1,"49","orca network","reliable",3,"spring","49","y"
"2020-03-21",2020,"12:30",384,"8",48.02,-122.31,1,"49","orca network","public",3,"spring","49","y"
"2019-03-17",2019,"11:15",384,"8",48.02,-122.31,1,"49","orca network","public",3,"spring","49","y"
"2017-03-18",2017,"14:50",379,"8",48.12,-122.52,1,"49","other","ww",3,"spring","49","y"
"2017-03-18",2017,"14:18",381,"8",48.1,-122.44,1,"49","other","ww",3,"spring","49","y"
"2020-03-06",2020,"12:45",384,"8",48.02,-122.31,1,"49","orca network","reliable",3,"spring","49","y"
"2017-03-04",2017,"0:00",378,"8",48.13,-122.38,1,"49","orca network","reliable",3,"spring","49","y"
"2016-03-19",2016,"0:00",384,"8",48.02,-122.31,1,"49","orca network","reliable",3,"spring","49","y"
"2018-04-27",2018,"10:20",385,"8",48.01,-122.22,1,"49","orca network","reliable",4,"spring","49","y"
"2018-04-26",2018,"10:20",384,"8",48.02,-122.31,1,"49","orca network","public",4,"spring","49","y"
"2018-04-21",2018,"11:15",384,"8",48.02,-122.31,1,"49","orca network","public",4,"spring","49","y"
"2018-04-17",2018,"10:32",384,"8",48.02,-122.31,1,"49","orca network","reliable",4,"spring","49","y"
"2018-03-29",2018,"14:26",384,"8",48.02,-122.31,1,"49","orca network","reliable",3,"spring","49","y"
"2017-03-22",2017,"12:15",378,"8",48.13,-122.38,1,"53","orca network","reliable",3,"spring","53","y"
"2021-02-24",2021,"12:30",375,"8",48.18,-122.55,1,"53","orca network","reliable",2,"winter","53","y"
"2021-02-24",2021,"10:30",379,"8",48.12,-122.52,1,"53","orca network","reliable",2,"winter","53","y"
"2021-02-23",2021,"18:04",380,"8",48.06,-122.52,1,"53","orca network","reliable",2,"winter","53","y"
"2021-02-23",2021,"17:47",379,"8",48.12,-122.52,1,"53","orca network","reliable",2,"winter","53","y"
"2022-02-08",2022,"16:20",386,"8",47.96,-122.29,1,"53","orca network","public",2,"winter","53","y"
"2022-01-04",2022,"14:50",379,"8",48.12,-122.52,1,"53","orca network","reliable",1,"winter","53","y"
"2022-01-16",2022,"12:50",383,"8",48.06,-122.4,1,"53","orca network","public",1,"winter","53","y"
"2021-02-07",2021,"14:00",384,"8",48.02,-122.31,1,"53","orca network","reliable",2,"winter","53","y"
"2021-02-25",2021,"10:30",379,"8",48.12,-122.52,1,"53","orca network","reliable",2,"winter","53","y"
"2021-02-19",2021,"7:32",372,"8",48.27,-122.56,1,"53","orca network","public",2,"winter","53","y"
"2021-02-14",2021,"17:30",374,"8",48.23,-122.57,1,"53","orca network","public",2,"winter","53","y"
"2021-02-14",2021,"13:35",375,"8",48.18,-122.55,1,"53","orca network","reliable",2,"winter","53","y"
"2021-02-09",2021,"10:05",379,"8",48.12,-122.52,1,"53","orca network","public",2,"winter","53","y"
"2021-02-03",2021,"14:08",375,"8",48.18,-122.55,1,"53","orca network","public",2,"winter","53","y"
"2021-02-03",2021,"12:15",379,"8",48.12,-122.52,1,"53","orca network","reliable",2,"winter","53","y"
"2021-02-03",2021,"6:30",379,"8",48.12,-122.52,1,"53","email","public",2,"winter","53","y"
"2021-01-30",2021,"16:44",379,"8",48.12,-122.52,1,"53","orca network","unknown",1,"winter","53","y"
"2021-01-28",2021,"14:20",379,"8",48.12,-122.52,1,"53","orca network","public",1,"winter","53","y"
"2021-01-25",2021,"15:43",383,"8",48.06,-122.4,1,"53","orca network","public",1,"winter","53","y"
"2021-01-10",2021,"15:20",381,"8",48.1,-122.44,1,"53","orca network","reliable",1,"winter","53","y"
"2021-01-06",2021,"13:25",383,"8",48.06,-122.4,1,"53","orca network","reliable",1,"winter","53","y"
"2021-05-30",2021,"15:15",386,"8",47.96,-122.29,1,"53","orca network","reliable",5,"spring","53","y"
"2021-03-27",2021,"11:30",384,"8",48.02,-122.31,1,"53","orca network","reliable",3,"spring","53","y"
"2021-03-06",2021,"12:06",380,"8",48.06,-122.52,1,"53","orca network","reliable",3,"spring","53","y"
"2021-03-03",2021,"16:00",379,"8",48.12,-122.52,1,"53","orca network","reliable",3,"spring","53","y"
"2021-02-27",2021,"13:00",381,"8",48.1,-122.44,1,"53","orca network","reliable",2,"winter","53","y"
"2021-02-27",2021,"12:25",379,"8",48.12,-122.52,1,"53","orca network","reliable",2,"winter","53","y"
"2021-02-27",2021,"11:38",380,"8",48.06,-122.52,1,"53","orca network","reliable",2,"winter","53","y"
"2021-02-25",2021,"11:55",379,"8",48.12,-122.52,1,"53","orca network","public",2,"winter","53","y"
"2022-03-12",2022,"12:23",371,"8",48.27,-122.45,1,"53","orca network","public",3,"spring","53","y"
"2022-01-31",2022,"15:25",381,"8",48.1,-122.44,1,"53","orca network","reliable",1,"winter","53","y"
"2017-03-20",2017,"13:40",398,"9",47.89,-122.36,1,"53","orca network","reliable",3,"spring","53","y"
"2019-02-14",2019,"13:30",385,"8",48.01,-122.22,1,"53","orca network","public",2,"winter","53","y"
"2023-02-15",2023,"11:40",383,"8",48.06,-122.4,1,"53","orca network","reliable",2,"winter","53","y"
"2023-02-15",2023,"12:47",383,"8",48.06,-122.4,1,"53","orca network","reliable",2,"winter","53","y"
"2023-02-15",2023,"13:40",383,"8",48.06,-122.4,1,"53","orca network","public",2,"winter","53","y"
"2022-12-28",2022,"12:35",381,"8",48.1,-122.44,1,"53","orca network","public",12,"winter","53","y"
"2022-12-17",2022,"14:35",383,"8",48.06,-122.4,1,"53","orca network","public",12,"winter","53","y"
"2022-12-17",2022,"12:34",383,"8",48.06,-122.4,1,"53","orca network","reliable",12,"winter","53","y"
"2022-12-17",2022,"11:48",383,"8",48.06,-122.4,1,"53","orca network","reliable",12,"winter","53","y"
"2023-03-05",2023,"12:00",385,"8",48.01,-122.22,1,"53","orca network","reliable",3,"spring","53","y"
"2023-01-23",2023,"8:00",379,"8",48.12,-122.52,1,"53","orca network","public",1,"winter","53","y"
"2023-01-21",2023,"14:50",383,"8",48.06,-122.4,1,"53","orca network","public",1,"winter","53","y"
"2023-02-11",2023,"9:46",383,"8",48.06,-122.4,1,"53","orca network","reliable",2,"winter","53","y"
"2023-01-16",2023,"14:42",379,"8",48.12,-122.52,1,"53","orca network","reliable",1,"winter","53","y"
"2023-01-16",2023,"15:40",379,"8",48.12,-122.52,1,"53","orca network","reliable",1,"winter","53","y"
"2023-01-11",2023,"14:50",381,"8",48.1,-122.44,1,"53","orca network","reliable",1,"winter","53","y"
"2023-01-11",2023,"16:10",379,"8",48.12,-122.52,1,"53","orca network","reliable",1,"winter","53","y"
"2022-12-12",2022,"12:40",383,"8",48.06,-122.4,1,"53","orca network","reliable",12,"winter","53","y"
"2019-03-16",2019,"10:15",384,"8",48.02,-122.31,1,"53","orca network","ww",3,"spring","53","y"
"2021-02-25",2021,"12:47",379,"8",48.12,-122.52,1,"53","orca network","reliable",2,"winter","53","y"
"2017-04-09",2017,"11:45",383,"8",48.06,-122.4,1,"53","other","ww",4,"spring","53","y"
"2017-04-02",2017,"13:00",381,"8",48.1,-122.44,1,"53","orca network","reliable",4,"spring","53","y"
"2015-04-02",2015,"0:00",384,"8",48.02,-122.31,1,"53","orca network","reliable",4,"spring","53","y"
"2018-04-10",2018,"16:21",386,"8",47.96,-122.29,1,"53","orca network","reliable",4,"spring","53","y"
"2018-04-10",2018,"11:52",398,"9",47.89,-122.36,1,"53","orca network","reliable",4,"spring","53","y"
"2018-04-10",2018,"10:00",386,"8",47.96,-122.29,1,"53","orca network","public",4,"spring","53","y"
"2018-03-30",2018,"11:18",382,"8",48.08,-122.33,1,"53","orca network","public",3,"spring","53","y"
"2017-03-11",2017,"0:00",384,"8",48.02,-122.31,1,"56","orca network","reliable",3,"spring","56","y"
"2021-02-17",2021,"10:15",383,"8",48.06,-122.4,1,"56","orca network","reliable",2,"winter","56","y"
"2020-05-05",2020,"17:00",375,"8",48.18,-122.55,1,"56","orca network","public",5,"spring","56","y"
"2019-04-03",2019,"17:00",373,"8",48.23,-122.67,1,"56","orca network","reliable",4,"spring","56","y"
"2018-04-22",2018,"10:08",398,"9",47.89,-122.36,1,"56","orca network","reliable",4,"spring","56","y"
"2018-04-16",2018,"16:20",374,"8",48.23,-122.57,1,"56","orca network","reliable",4,"spring","56","y"
"2018-04-16",2018,"15:30",373,"8",48.23,-122.67,1,"56","orca network","reliable",4,"spring","56","y"
"2018-03-31",2018,"13:30",371,"8",48.27,-122.45,1,"56","orca network","public",3,"spring","56","y"
"2018-03-25",2018,"0:00",372,"8",48.27,-122.56,1,"56","orca network","public",3,"spring","56","y"
"2018-08-06",2018,"0:00",381,"8",48.1,-122.44,1,"185","orca network","public",8,"summer","185","y"
"2018-07-04",2018,"13:40",385,"8",48.01,-122.22,1,"185","orca network","reliable",7,"summer","185","y"
"2018-03-23",2018,"13:48",384,"8",48.02,-122.31,1,"185","orca network","reliable",3,"spring","185","y"
"2018-03-19",2018,"16:35",384,"8",48.02,-122.31,1,"185","orca network","public",3,"spring","185","y"
"2018-12-22",2018,"13:30",385,"8",48.01,-122.22,1,"185","orca network","reliable",12,"winter","185","y"
"2019-01-10",2019,"16:00",384,"8",48.02,-122.31,1,"185","orca network","reliable",1,"winter","185","y"
"2019-01-10",2019,"13:34",385,"8",48.01,-122.22,1,"185","orca network","reliable",1,"winter","185","y"
"2019-01-10",2019,"13:15",384,"8",48.02,-122.31,1,"185","orca network","reliable",1,"winter","185","y"
"2019-01-10",2019,"16:00",384,"8",48.02,-122.31,1,"185","orca network","reliable",1,"winter","185","y"
"2023-04-18",2023,"15:15",380,"8",48.06,-122.52,1,"185","orca network","public",4,"spring","185","y"
"2023-04-17",2023,"14:30",380,"8",48.06,-122.52,1,"185","orca network","public",4,"spring","185","y"
"2021-02-28",2021,"18:00",379,"8",48.12,-122.52,1,"185","orca network","reliable",2,"winter","185","y"
"2019-01-10",2019,"13:15",384,"8",48.02,-122.31,1,"185","orca network","reliable",1,"winter","185","y"
"2018-04-15",2018,"15:00",383,"8",48.06,-122.4,1,"185","orca network","reliable",4,"spring","185","y"
"2018-03-23",2018,"13:48",384,"8",48.02,-122.31,1,"185","orca network","reliable",3,"spring","185","y"
"2023-04-15",2023,"12:20",375,"8",48.18,-122.55,1,"356","orca network","reliable",4,"spring","356","y"
"2020-04-24",2020,"0:00",383,"8",48.06,-122.4,1,"356","orca network","public",4,"spring","356","y"
"2017-04-08",2017,"14:40",384,"8",48.02,-122.31,1,"356","hotline","public",4,"spring","356","y"
"2013-04-16",2013,"12:34",384,"8",48.02,-122.31,1,"383","orca network","reliable",4,"spring","383","y"
"2018-03-21",2018,"0:00",384,"8",48.02,-122.31,1,"383","orca network","reliable",3,"spring","383","y"
"2016-04-22",2016,"12:02",384,"8",48.02,-122.31,1,"383","orca network","reliable",4,"spring","383","y"
"2021-04-26",2021,"11:30",384,"8",48.02,-122.31,1,"383","orca network","reliable",4,"spring","383","y"
"2013-04-27",2013,"13:38",384,"8",48.02,-122.31,1,"383","orca network","reliable",4,"spring","383","y"
"2018-04-18",2018,"10:15",383,"8",48.06,-122.4,1,"383","orca network","reliable",4,"spring","383","y"
"2018-03-24",2018,"13:14",384,"8",48.02,-122.31,1,"383","orca network","reliable",3,"spring","383","y"
"2018-03-23",2018,"10:38",384,"8",48.02,-122.31,1,"383","orca network","reliable",3,"spring","383","y"
"2018-03-24",2018,"14:55",383,"8",48.06,-122.4,1,"530","orca network","public",3,"spring","530","n"
"2020-04-02",2020,"9:39",381,"8",48.1,-122.44,1,"531","orca network","public",4,"spring","531","y"
"2021-05-28",2021,"18:35",383,"8",48.06,-122.4,1,"531","orca network","public",5,"spring","531","y"
"2021-05-28",2021,"15:39",381,"8",48.1,-122.44,1,"531","orca network","public",5,"spring","531","y"
"2021-05-28",2021,"14:00",381,"8",48.1,-122.44,1,"531","orca network","reliable",5,"spring","531","y"
"2021-05-28",2021,"12:45",383,"8",48.06,-122.4,1,"531","orca network","reliable",5,"spring","531","y"
"2021-04-30",2021,"16:54",383,"8",48.06,-122.4,1,"531","orca network","reliable",4,"spring","531","y"
"2021-04-25",2021,"11:30",385,"8",48.01,-122.22,1,"531","orca network","reliable",4,"spring","531","y"
"2021-04-24",2021,"10:42",385,"8",48.01,-122.22,1,"531","orca network","reliable",4,"spring","531","y"
"2021-04-14",2021,"12:20",383,"8",48.06,-122.4,1,"531","orca network","reliable",4,"spring","531","y"
"2021-04-08",2021,"10:49",385,"8",48.01,-122.22,1,"531","orca network","reliable",4,"spring","531","y"
"2021-03-21",2021,"11:08",381,"8",48.1,-122.44,1,"531","orca network","public",3,"spring","531","y"
"2021-03-20",2021,"10:00",378,"8",48.13,-122.38,1,"531","orca network","public",3,"spring","531","y"
"2021-03-11",2021,"11:45",384,"8",48.02,-122.31,1,"531","orca network","reliable",3,"spring","531","y"
"2023-04-30",2023,"5:45",383,"8",48.06,-122.4,1,"531","orca network","reliable",4,"spring","531","y"
"2023-04-30",2023,"5:45",383,"8",48.06,-122.4,1,"531","orca network","reliable",4,"spring","531","y"
"2023-04-21",2023,"19:30",375,"8",48.18,-122.55,1,"531","orca network","public",4,"spring","531","y"
"2019-04-04",2019,"19:30",383,"8",48.06,-122.4,1,"531","orca network","reliable",4,"spring","531","y"
"2020-04-25",2020,"0:00",383,"8",48.06,-122.4,1,"531","orca network","public",4,"spring","531","y"
"2019-03-23",2019,"17:30",247,"6",48.32,-122.71,1,"531","orca network","reliable",3,"spring","531","y"
"2018-04-27",2018,"15:24",383,"8",48.06,-122.4,1,"531","orca network","public",4,"spring","531","y"
"2018-04-26",2018,"8:34",381,"8",48.1,-122.44,1,"531","orca network","reliable",4,"spring","531","y"
"2018-04-25",2018,"11:00",381,"8",48.1,-122.44,1,"531","orca network","reliable",4,"spring","531","y"
"2018-04-24",2018,"15:00",381,"8",48.1,-122.44,1,"531","orca network","public",4,"spring","531","y"
"2018-04-19",2018,"12:30",381,"8",48.1,-122.44,1,"531","orca network","public",4,"spring","531","y"
"2018-04-19",2018,"11:57",379,"8",48.12,-122.52,1,"531","orca network","reliable",4,"spring","531","y"
"2018-04-18",2018,"14:35",379,"8",48.12,-122.52,1,"531","orca network","reliable",4,"spring","531","y"
"2018-04-17",2018,"20:45",381,"8",48.1,-122.44,1,"531","orca network","reliable",4,"spring","531","y"
"2018-04-17",2018,"19:20",379,"8",48.12,-122.52,1,"531","orca network","reliable",4,"spring","531","y"
"2018-04-17",2018,"18:15",379,"8",48.12,-122.52,1,"531","orca network","reliable",4,"spring","531","y"
"2018-04-09",2018,"11:07",380,"8",48.06,-122.52,1,"531","orca network","reliable",4,"spring","531","y"
"2018-04-09",2018,"10:38",381,"8",48.1,-122.44,1,"531","orca network","public",4,"spring","531","y"
"2018-04-08",2018,"14:09",383,"8",48.06,-122.4,1,"531","orca network","reliable",4,"spring","531","y"
"2018-03-30",2018,"15:55",381,"8",48.1,-122.44,1,"531","orca network","reliable",3,"spring","531","y"
"2018-03-27",2018,"14:15",385,"8",48.01,-122.22,1,"531","orca network","public",3,"spring","531","y"
"2018-03-25",2018,"10:37",384,"8",48.02,-122.31,1,"531","orca network","reliable",3,"spring","531","y"
"2018-03-17",2018,"11:28",384,"8",48.02,-122.31,1,"531","orca network","public",3,"spring","531","y"
"2018-03-17",2018,"11:28",384,"8",48.02,-122.31,1,"531","orca network","reliable",3,"spring","531","y"
"2016-04-14",2016,"0:00",398,"9",47.89,-122.36,1,"531","orca network","reliable",4,"spring","531","y"
"2013-04-16",2013,"12:34",384,"8",48.02,-122.31,1,"723","orca network","reliable",4,"spring","723","y"
"2014-04-20",2014,"12:17",384,"8",48.02,-122.31,1,"723","orca network","public",4,"spring","723","y"
"2016-08-11",2016,"15:50",221,"7",48.44,-122.76,1,"723","orca network","reliable",8,"summer","723","y"
"2016-08-15",2016,"15:30",180,"19C",48.5,-123.25,1,"723","orca network","reliable",8,"summer","723","y"
"2016-08-11",2016,"14:14",389,"9",48.09,-122.63,1,"723","orca network","public",8,"summer","723","y"
